0 250 250 
0 250 250 250 
0 250 250 250 
0 250 250 250 
0 250 250 250 
0 250 250 250 
0 250 250 250 
0 250 250 250 
0 250 250 250 
0 250 250 250 
0 250 250 250 
0 15.625 15.625 15.625 15.625 
0 15.625 15.625 15.625 15.625 
0 15.625 15.625 15.625 15.625 
0 15.625 15.625 15.625 15.625 
0 15.625 15.625 15.625 15.625 
0 31.25 31.25 31.25 15.625 15.625 
0 31.25 31.25 15.625 15.625 31.25 
0 15.625 15.625 15.625 15.625 
0 15.625 15.625 15.625 15.625 
0 15.625 15.625 15.625 15.625 
0 15.625 15.625 15.625 15.625 
0 15.625 15.625 15.625 15.625 
0 15.625 15.625 15.625 15.625 
0 15.625 15.625 15.625 15.625 
0 15.625 15.625 15.625 15.625 
0 15.625 15.625 15.625 15.625 31.25 31.25 
0 15.625 15.625 31.25 31.25 31.25 
0 31.25 31.25 31.25 31.25 
0 31.25 31.25 31.25 31.25 
0 15.625 15.625 31.25 31.25 31.25 
0 15.625 15.625 31.25 31.25 31.25 
0 31.25 31.25 31.25 31.25 
0 31.25 31.25 31.25 31.25 
0 15.625 15.625 15.625 15.625 
0 15.625 15.625 15.625 15.625 
0 15.625 15.625 15.625 15.625 
0 15.625 15.625 15.625 15.625 
0 15.625 15.625 15.625 15.625 31.25 31.25 
0 15.625 15.625 15.625 15.625 31.25 31.25 
0 31.25 31.25 31.25 31.25 
0 31.25 31.25 31.25 31.25 62.5 62.5 
0 31.25 31.25 31.25 31.25 62.5 62.5 
0 62.5 62.5 62.5 62.5 
0 31.25 31.25 62.5 62.5 62.5 
0 31.25 31.25 62.5 62.5 62.5 
0 62.5 62.5 62.5 62.5 
0 62.5 62.5 62.5 62.5 
0 31.25 31.25 31.25 15.625 15.625 
0 31.25 31.25 15.625 15.625 31.25 
0 15.625 15.625 15.625 15.625 
0 15.625 15.625 15.625 15.625 
0 15.625 15.625 15.625 15.625 
0 15.625 15.625 15.625 15.625 
0 15.625 15.625 15.625 15.625 
0 15.625 15.625 15.625 15.625 
0 15.625 15.625 15.625 15.625 
0 15.625 15.625 15.625 15.625 
0 31.25 31.25 31.25 15.625 15.625 
0 31.25 31.25 15.625 15.625 31.25 
0 15.625 15.625 15.625 15.625 
0 15.625 15.625 15.625 15.625 
0 15.625 15.625 15.625 15.625 
0 15.625 15.625 15.625 15.625 
0 15.625 15.625 15.625 15.625 
0 15.625 15.625 15.625 15.625 
0 15.625 15.625 15.625 15.625 
0 15.625 15.625 15.625 15.625 
0 31.25 15.625 15.625 31.25 31.25 
0 15.625 15.625 31.25 31.25 31.25 
0 31.25 31.25 31.25 31.25 
0 31.25 31.25 31.25 31.25 
0 15.625 15.625 31.25 31.25 31.25 
0 15.625 15.625 31.25 31.25 31.25 
0 31.25 31.25 31.25 31.25 
0 31.25 31.25 31.25 31.25 
0 31.25 31.25 31.25 15.625 15.625 
0 31.25 31.25 15.625 15.625 31.25 
0 15.625 15.625 15.625 15.625 
0 15.625 15.625 15.625 15.625 
0 15.625 15.625 15.625 15.625 
0 15.625 15.625 15.625 15.625 
0 15.625 15.625 15.625 15.625 
0 15.625 15.625 15.625 15.625 
0 15.625 15.625 15.625 15.625 
0 15.625 15.625 15.625 15.625 
0 31.25 31.25 31.25 15.625 15.625 
0 31.25 31.25 15.625 15.625 31.25 
0 15.625 15.625 15.625 15.625 
0 15.625 15.625 15.625 15.625 
0 15.625 15.625 15.625 15.625 
0 15.625 15.625 15.625 15.625 
0 15.625 15.625 15.625 15.625 
0 15.625 15.625 15.625 15.625 
0 15.625 15.625 15.625 15.625 
0 15.625 15.625 15.625 15.625 
0 31.25 15.625 15.625 31.25 31.25 
0 15.625 15.625 31.25 31.25 31.25 
0 31.25 31.25 31.25 31.25 
0 31.25 31.25 31.25 31.25 
0 15.625 15.625 31.25 31.25 31.25 
0 15.625 15.625 31.25 31.25 31.25 
0 31.25 31.25 31.25 31.25 
0 31.25 31.25 31.25 31.25 
0 62.5 31.25 31.25 62.5 62.5 
0 31.25 31.25 62.5 62.5 62.5 
0 62.5 62.5 62.5 62.5 
0 62.5 62.5 62.5 62.5 
0 31.25 31.25 62.5 62.5 62.5 
0 31.25 31.25 62.5 62.5 62.5 
0 62.5 62.5 62.5 62.5 
0 62.5 62.5 62.5 62.5 
0 31.25 31.25 31.25 15.625 15.625 
0 31.25 31.25 15.625 15.625 15.625 15.625 
0 15.625 15.625 15.625 15.625 
0 15.625 15.625 15.625 15.625 
0 15.625 15.625 15.625 15.625 
0 15.625 15.625 15.625 15.625 
0 15.625 15.625 15.625 15.625 
0 15.625 15.625 15.625 15.625 
0 15.625 15.625 15.625 15.625 
0 15.625 15.625 15.625 15.625 
0 15.625 15.625 15.625 15.625 
0 15.625 15.625 15.625 15.625 
0 15.625 15.625 15.625 15.625 
0 15.625 15.625 15.625 15.625 
0 15.625 15.625 15.625 15.625 
0 15.625 15.625 15.625 15.625 
0 15.625 15.625 15.625 15.625 
0 15.625 15.625 15.625 15.625 
0 15.625 15.625 15.625 15.625 
0 15.625 15.625 15.625 15.625 
0 15.625 15.625 15.625 15.625 
0 15.625 15.625 15.625 15.625 
0 15.625 15.625 15.625 15.625 31.25 31.25 
0 31.25 15.625 15.625 31.25 31.25 
0 15.625 15.625 31.25 31.25 31.25 
0 31.25 31.25 31.25 31.25 
0 31.25 31.25 31.25 31.25 
0 15.625 15.625 31.25 31.25 31.25 
0 31.25 31.25 31.25 31.25 
0 31.25 31.25 31.25 31.25 
0 31.25 31.25 31.25 31.25 
0 31.25 15.625 15.625 31.25 31.25 
0 31.25 31.25 31.25 31.25 
0 31.25 31.25 31.25 31.25 
0 31.25 31.25 31.25 31.25 
0 62.5 31.25 31.25 62.5 62.5 
0 31.25 31.25 31.25 31.25 62.5 62.5 
0 62.5 62.5 62.5 62.5 
0 62.5 31.25 31.25 62.5 62.5 
0 31.25 31.25 62.5 62.5 62.5 
0 62.5 62.5 62.5 62.5 
0 62.5 62.5 62.5 62.5 
0 62.5 62.5 62.5 62.5 125 125 
0 62.5 62.5 62.5 62.5 125 125 
0 125 125 125 125 
0 125 125 125 125 
0 125 125 125 125 
0 250 125 125 250 250 
0 250 250 250 250 
0 250 250 250 
0 250 250 250 
0 250 250 250 250 
0 250 250 250 250 
0 250 250 250 250 
0 250 250 250 250 
0 250 250 250 250 
0 250 250 250 250 
0 250 250 250 250 
0 250 250 250 250 
0 250 250 250 250 
0 250 250 125 125 250 
0 125 125 62.5 62.5 125 
0 62.5 62.5 62.5 62.5 
0 62.5 62.5 62.5 31.25 31.25 
0 62.5 62.5 62.5 62.5 
0 62.5 62.5 62.5 31.25 31.25 
0 125 125 62.5 62.5 125 
0 62.5 62.5 62.5 62.5 
0 62.5 62.5 62.5 31.25 31.25 
0 62.5 62.5 62.5 62.5 
0 62.5 62.5 31.25 31.25 31.25 31.25 
0 31.25 31.25 31.25 31.25 
0 31.25 31.25 31.25 31.25 
0 31.25 31.25 31.25 31.25 
0 31.25 31.25 15.625 15.625 31.25 
0 31.25 31.25 15.625 15.625 15.625 15.625 
0 15.625 15.625 15.625 15.625 
0 15.625 15.625 15.625 15.625 
0 15.625 15.625 15.625 15.625 
0 15.625 15.625 15.625 15.625 
0 15.625 15.625 15.625 15.625 
0 15.625 15.625 15.625 15.625 
0 15.625 15.625 15.625 15.625 
0 15.625 15.625 15.625 15.625 
0 15.625 15.625 15.625 15.625 
0 15.625 15.625 15.625 15.625 
0 15.625 15.625 15.625 15.625 
0 15.625 15.625 15.625 15.625 
0 31.25 31.25 31.25 31.25 
0 31.25 31.25 15.625 15.625 15.625 15.625 
0 31.25 31.25 15.625 15.625 31.25 
0 15.625 15.625 15.625 15.625 
0 15.625 15.625 15.625 15.625 
0 15.625 15.625 15.625 15.625 
0 15.625 15.625 15.625 15.625 
0 15.625 15.625 15.625 15.625 
0 15.625 15.625 15.625 15.625 
0 15.625 15.625 15.625 15.625 
0 15.625 15.625 15.625 15.625 
0 15.625 15.625 15.625 15.625 31.25 31.25 
0 15.625 15.625 15.625 15.625 
0 15.625 15.625 15.625 15.625 
0 15.625 15.625 15.625 15.625 
0 15.625 15.625 15.625 15.625 
0 31.25 15.625 15.625 31.25 31.25 
0 15.625 15.625 15.625 15.625 
0 15.625 15.625 15.625 15.625 
0 15.625 15.625 15.625 15.625 
0 15.625 15.625 15.625 15.625 
0 15.625 15.625 15.625 15.625 31.25 31.25 
0 15.625 15.625 15.625 15.625 31.25 31.25 
0 31.25 31.25 31.25 31.25 
0 31.25 31.25 31.25 31.25 62.5 62.5 
0 31.25 31.25 31.25 31.25 62.5 62.5 
0 62.5 62.5 62.5 62.5 
0 31.25 31.25 15.625 15.625 31.25 
0 15.625 15.625 15.625 15.625 
0 15.625 15.625 15.625 15.625 
0 15.625 15.625 15.625 15.625 
0 15.625 15.625 15.625 15.625 
0 31.25 31.25 15.625 15.625 31.25 
0 15.625 15.625 15.625 15.625 
0 15.625 15.625 15.625 15.625 
0 15.625 15.625 15.625 15.625 
0 15.625 15.625 15.625 15.625 
0 15.625 15.625 15.625 15.625 31.25 31.25 
0 31.25 31.25 31.25 31.25 
0 15.625 15.625 31.25 31.25 31.25 
0 31.25 31.25 31.25 31.25 
0 31.25 31.25 15.625 15.625 31.25 
0 15.625 15.625 15.625 15.625 
0 15.625 15.625 15.625 15.625 
0 15.625 15.625 15.625 15.625 
0 15.625 15.625 15.625 15.625 
0 31.25 31.25 15.625 15.625 31.25 
0 15.625 15.625 15.625 15.625 
0 15.625 15.625 15.625 15.625 
0 15.625 15.625 15.625 15.625 
0 15.625 15.625 15.625 15.625 
0 31.25 15.625 15.625 31.25 31.25 
0 31.25 31.25 31.25 31.25 
0 15.625 15.625 31.25 31.25 31.25 
0 31.25 31.25 31.25 31.25 
0 62.5 31.25 31.25 62.5 62.5 
0 62.5 62.5 62.5 62.5 
0 31.25 31.25 62.5 62.5 62.5 
0 62.5 62.5 62.5 62.5 
0 62.5 62.5 62.5 62.5 125 125 
0 62.5 62.5 125 125 125 
0 62.5 62.5 125 125 62.5 62.5 
0 125 125 125 62.5 62.5 
0 62.5 62.5 125 125 125 
0 62.5 62.5 125 125 125 
0 125 125 125 125 
0 125 125 125 125 
0 62.5 62.5 125 125 125 
0 125 125 125 125 
0 125 125 125 125 
0 125 125 125 125 
0 125 125 125 125 250 250 
0 250 250 250 250 
0 250 250 250 250 
0 250 250 250 
0 250 250 250 
0 250 250 250 250 
0 250 250 250 250 
0 250 250 250 250 
0 250 250 250 250 
0 250 250 250 250 
0 250 250 250 250 
0 250 250 250 250 
0 250 250 250 250 
0 250 250 250 250 
0 250 250 125 125 250 
0 125 125 62.5 62.5 125 
0 62.5 62.5 31.25 31.25 62.5 
0 31.25 31.25 31.25 31.25 
0 31.25 31.25 31.25 31.25 
0 31.25 31.25 31.25 31.25 
0 31.25 31.25 31.25 15.625 15.625 
0 62.5 62.5 31.25 31.25 62.5 
0 31.25 31.25 31.25 31.25 
0 31.25 31.25 31.25 15.625 15.625 
0 31.25 31.25 31.25 31.25 
0 31.25 31.25 31.25 15.625 15.625 
0 125 125 62.5 62.5 125 
0 62.5 62.5 31.25 31.25 62.5 
0 31.25 31.25 31.25 31.25 
0 31.25 31.25 31.25 15.625 15.625 
0 31.25 31.25 31.25 31.25 
0 31.25 31.25 31.25 15.625 15.625 
0 62.5 62.5 62.5 62.5 
0 31.25 31.25 62.5 31.25 31.25 62.5 
0 31.25 31.25 15.625 15.625 15.625 15.625 
0 15.625 15.625 15.625 15.625 
0 15.625 15.625 15.625 15.625 
0 15.625 15.625 15.625 15.625 
0 15.625 15.625 15.625 15.625 
0 15.625 15.625 15.625 15.625 
0 15.625 15.625 15.625 15.625 
0 15.625 15.625 15.625 15.625 
0 15.625 15.625 15.625 15.625 
0 15.625 15.625 15.625 15.625 
0 15.625 15.625 15.625 15.625 
0 15.625 15.625 15.625 15.625 
0 15.625 15.625 15.625 15.625 
0 31.25 15.625 15.625 31.25 31.25 
0 31.25 31.25 31.25 31.25 
0 15.625 15.625 31.25 31.25 31.25 
0 31.25 31.25 31.25 31.25 
0 15.625 15.625 15.625 15.625 
0 15.625 15.625 15.625 15.625 
0 15.625 15.625 15.625 15.625 
0 15.625 15.625 15.625 15.625 
0 15.625 15.625 15.625 15.625 31.25 31.25 
0 15.625 15.625 15.625 15.625 
0 15.625 15.625 15.625 15.625 
0 15.625 15.625 15.625 15.625 
0 15.625 15.625 15.625 15.625 
0 31.25 15.625 15.625 31.25 31.25 
0 31.25 31.25 31.25 31.25 62.5 31.25 31.25 
0 62.5 31.25 31.25 62.5 62.5 
0 62.5 62.5 62.5 62.5 
0 62.5 62.5 62.5 62.5 
0 62.5 62.5 62.5 62.5 
0 15.625 15.625 15.625 15.625 
0 15.625 15.625 15.625 15.625 
0 15.625 15.625 15.625 15.625 
0 15.625 15.625 15.625 15.625 
0 31.25 15.625 15.625 15.625 15.625 31.25 
0 15.625 15.625 15.625 15.625 
0 15.625 15.625 15.625 15.625 
0 15.625 15.625 15.625 15.625 
0 15.625 15.625 15.625 15.625 
0 15.625 15.625 15.625 15.625 
0 15.625 15.625 15.625 15.625 
0 15.625 15.625 15.625 15.625 
0 15.625 15.625 15.625 15.625 
0 31.25 31.25 31.25 31.25 
0 31.25 31.25 31.25 31.25 
0 15.625 15.625 31.25 31.25 31.25 
0 31.25 31.25 31.25 31.25 
0 31.25 15.625 15.625 15.625 15.625 31.25 
0 15.625 15.625 15.625 15.625 
0 15.625 15.625 15.625 15.625 
0 15.625 15.625 15.625 15.625 
0 15.625 15.625 15.625 15.625 
0 31.25 31.25 15.625 15.625 31.25 
0 15.625 15.625 15.625 15.625 
0 15.625 15.625 15.625 15.625 
0 15.625 15.625 15.625 15.625 
0 15.625 15.625 15.625 15.625 
0 31.25 15.625 15.625 31.25 31.25 
0 31.25 31.25 31.25 31.25 
0 15.625 15.625 31.25 31.25 31.25 
0 31.25 31.25 31.25 31.25 
0 62.5 31.25 31.25 62.5 62.5 
0 62.5 62.5 62.5 62.5 
0 31.25 31.25 62.5 62.5 62.5 
0 62.5 62.5 62.5 62.5 
0 62.5 62.5 62.5 62.5 
0 62.5 62.5 31.25 31.25 62.5 
0 62.5 62.5 31.25 31.25 62.5 
0 31.25 31.25 31.25 31.25 
0 31.25 31.25 15.625 15.625 31.25 
0 31.25 31.25 15.625 15.625 31.25 
0 15.625 15.625 15.625 15.625 
0 15.625 15.625 15.625 15.625 
0 15.625 15.625 15.625 15.625 
0 15.625 15.625 15.625 15.625 
0 62.5 62.5 62.5 31.25 31.25 
0 62.5 62.5 62.5 62.5 
0 31.25 31.25 31.25 15.625 15.625 
0 31.25 31.25 31.25 31.25 
0 15.625 15.625 15.625 15.625 
0 15.625 15.625 15.625 15.625 
0 15.625 15.625 15.625 15.625 
0 15.625 15.625 15.625 15.625 
0 31.25 15.625 15.625 31.25 31.25 
0 62.5 31.25 31.25 62.5 62.5 
0 62.5 62.5 31.25 31.25 62.5 
0 31.25 31.25 15.625 15.625 31.25 
0 15.625 15.625 15.625 15.625 
0 15.625 15.625 15.625 15.625 
0 15.625 15.625 15.625 15.625 
0 15.625 15.625 15.625 15.625 
0 31.25 31.25 31.25 31.25 
0 15.625 15.625 31.25 31.25 31.25 
0 62.5 62.5 62.5 62.5 
0 31.25 31.25 62.5 62.5 62.5 
0 15.625 15.625 15.625 15.625 
0 15.625 15.625 15.625 15.625 
0 15.625 15.625 15.625 15.625 
0 15.625 15.625 15.625 15.625 
0 31.25 15.625 15.625 31.25 31.25 
0 31.25 15.625 15.625 31.25 31.25 
0 31.25 31.25 31.25 31.25 
0 62.5 31.25 31.25 62.5 62.5 
0 62.5 31.25 31.25 62.5 62.5 
0 62.5 62.5 62.5 62.5 
0 125 62.5 62.5 125 125 
0 125 125 125 125 
0 62.5 62.5 125 125 125 
0 125 125 125 125 
0 125 125 125 125 250 250 
0 250 250 250 250 
0 250 250 250 250 
0 250 250 250 250 
0 250 250 250 
0 250 250 250 
0 250 250 250 250 
0 250 250 250 250 
0 250 250 250 250 
0 250 250 250 250 
0 250 250 250 250 
0 250 250 250 250 
0 250 250 250 250 
0 250 250 250 250 
0 250 250 250 250 
0 250 250 125 125 250 
0 125 125 62.5 62.5 125 
0 62.5 62.5 62.5 62.5 
0 62.5 62.5 62.5 31.25 31.25 
0 62.5 62.5 62.5 62.5 
0 62.5 62.5 62.5 31.25 31.25 
0 125 125 62.5 62.5 125 
0 62.5 62.5 62.5 62.5 
0 62.5 62.5 62.5 31.25 31.25 
0 62.5 62.5 62.5 62.5 
0 62.5 62.5 62.5 62.5 
0 31.25 31.25 15.625 15.625 31.25 
0 15.625 15.625 15.625 15.625 
0 15.625 15.625 15.625 15.625 
0 15.625 15.625 15.625 15.625 
0 15.625 15.625 15.625 15.625 
0 31.25 31.25 15.625 15.625 31.25 
0 15.625 15.625 15.625 15.625 
0 15.625 15.625 15.625 15.625 
0 15.625 15.625 15.625 15.625 
0 15.625 15.625 15.625 15.625 
0 31.25 15.625 15.625 31.25 15.625 15.625 
0 31.25 31.25 31.25 31.25 
0 15.625 15.625 15.625 15.625 
0 15.625 15.625 15.625 15.625 
0 15.625 15.625 15.625 15.625 
0 15.625 15.625 15.625 15.625 
0 31.25 15.625 15.625 31.25 31.25 
0 31.25 31.25 31.25 31.25 
0 15.625 15.625 31.25 31.25 15.625 15.625 
0 31.25 31.25 31.25 31.25 
0 31.25 31.25 15.625 15.625 31.25 
0 15.625 15.625 15.625 15.625 
0 15.625 15.625 15.625 15.625 
0 15.625 15.625 15.625 15.625 
0 15.625 15.625 15.625 15.625 
0 31.25 15.625 15.625 31.25 31.25 
0 15.625 15.625 15.625 15.625 
0 15.625 15.625 15.625 15.625 
0 15.625 15.625 15.625 15.625 
0 15.625 15.625 15.625 15.625 
0 31.25 15.625 15.625 31.25 15.625 15.625 
0 62.5 31.25 31.25 62.5 62.5 
0 62.5 62.5 62.5 62.5 
0 31.25 31.25 62.5 62.5 31.25 31.25 
0 62.5 62.5 62.5 62.5 
0 31.25 31.25 31.25 31.25 
0 31.25 31.25 31.25 15.625 15.625 
0 31.25 31.25 31.25 31.25 
0 31.25 31.25 31.25 31.25 
0 15.625 15.625 15.625 15.625 
0 15.625 15.625 15.625 15.625 
0 15.625 15.625 15.625 15.625 
0 15.625 15.625 15.625 15.625 
0 15.625 15.625 15.625 15.625 
0 15.625 15.625 15.625 15.625 
0 15.625 15.625 15.625 15.625 
0 15.625 15.625 15.625 15.625 
0 31.25 15.625 15.625 15.625 15.625 31.25 
0 15.625 15.625 15.625 15.625 
0 15.625 15.625 15.625 15.625 
0 15.625 15.625 15.625 15.625 
0 15.625 15.625 15.625 15.625 
0 62.5 31.25 31.25 31.25 31.25 62.5 
0 31.25 31.25 31.25 31.25 
0 15.625 15.625 31.25 31.25 15.625 15.625 
0 31.25 31.25 31.25 31.25 
0 31.25 31.25 15.625 15.625 31.25 
0 31.25 15.625 15.625 31.25 15.625 15.625 
0 31.25 31.25 31.25 31.25 
0 15.625 15.625 15.625 15.625 
0 15.625 15.625 15.625 15.625 
0 15.625 15.625 15.625 15.625 
0 15.625 15.625 15.625 15.625 
0 31.25 15.625 15.625 31.25 31.25 
0 62.5 31.25 31.25 31.25 31.25 62.5 
0 15.625 15.625 15.625 15.625 
0 15.625 15.625 15.625 15.625 
0 15.625 15.625 15.625 15.625 
0 15.625 15.625 15.625 15.625 
0 31.25 15.625 15.625 15.625 15.625 31.25 
0 15.625 15.625 15.625 15.625 
0 15.625 15.625 15.625 15.625 
0 15.625 15.625 15.625 15.625 
0 15.625 15.625 15.625 15.625 
0 15.625 15.625 15.625 15.625 
0 15.625 15.625 15.625 15.625 
0 15.625 15.625 15.625 15.625 
0 15.625 15.625 15.625 15.625 
0 31.25 31.25 31.25 31.25 
0 31.25 31.25 31.25 31.25 
0 15.625 15.625 31.25 31.25 15.625 15.625 
0 31.25 31.25 31.25 31.25 
0 62.5 62.5 62.5 62.5 125 62.5 62.5 
0 62.5 62.5 125 125 125 
0 62.5 62.5 62.5 62.5 
0 62.5 62.5 62.5 62.5 
0 31.25 31.25 62.5 62.5 31.25 31.25 
0 62.5 62.5 62.5 62.5 
0 125 62.5 62.5 125 62.5 62.5 
0 125 125 125 125 250 125 125 
0 250 250 250 250 
0 250 250 250 250 
0 250 250 250 250 
0 250 250 250 250 
0 250 250 250 
0 250 250 250 
0 250 250 250 250 
0 250 250 250 250 
0 250 250 250 250 
0 250 250 250 250 
0 250 250 250 250 
0 250 250 250 250 
0 250 250 250 250 
0 250 250 250 250 
0 250 250 250 250 
0 250 250 125 125 250 
0 125 125 125 125 
0 62.5 62.5 125 125 62.5 62.5 
0 125 125 125 125 
0 125 125 125 125 
0 62.5 62.5 62.5 62.5 
0 31.25 31.25 62.5 62.5 31.25 31.25 
0 62.5 62.5 62.5 62.5 
0 62.5 62.5 62.5 62.5 
0 15.625 15.625 31.25 15.625 15.625 31.25 
0 15.625 15.625 15.625 15.625 
0 15.625 15.625 15.625 15.625 
0 15.625 15.625 15.625 15.625 
0 15.625 15.625 15.625 15.625 
0 31.25 31.25 31.25 31.25 
0 15.625 15.625 31.25 15.625 15.625 31.25 
0 15.625 15.625 15.625 15.625 
0 15.625 15.625 15.625 15.625 
0 15.625 15.625 15.625 15.625 
0 15.625 15.625 15.625 15.625 
0 31.25 15.625 15.625 15.625 15.625 31.25 
0 15.625 15.625 15.625 15.625 
0 15.625 15.625 15.625 15.625 
0 15.625 15.625 15.625 15.625 
0 15.625 15.625 15.625 15.625 
0 15.625 15.625 15.625 15.625 
0 15.625 15.625 15.625 15.625 
0 15.625 15.625 15.625 15.625 
0 15.625 15.625 15.625 15.625 
0 62.5 31.25 31.25 31.25 31.25 62.5 
0 15.625 15.625 31.25 15.625 15.625 31.25 
0 15.625 15.625 15.625 15.625 
0 15.625 15.625 15.625 15.625 
0 15.625 15.625 15.625 15.625 
0 15.625 15.625 15.625 15.625 
0 31.25 31.25 31.25 31.25 
0 15.625 15.625 31.25 31.25 15.625 15.625 
0 125 62.5 62.5 62.5 62.5 125 
0 62.5 62.5 62.5 62.5 
0 31.25 31.25 62.5 62.5 31.25 31.25 
0 62.5 62.5 62.5 62.5 
0 62.5 62.5 31.25 31.25 62.5 
0 31.25 31.25 31.25 31.25 
0 31.25 31.25 31.25 31.25 
0 15.625 15.625 31.25 31.25 15.625 15.625 
0 31.25 31.25 31.25 31.25 
0 62.5 31.25 31.25 31.25 31.25 62.5 
0 15.625 15.625 15.625 15.625 
0 15.625 15.625 15.625 15.625 
0 15.625 15.625 15.625 15.625 
0 15.625 15.625 15.625 15.625 
0 31.25 15.625 15.625 15.625 15.625 31.25 
0 15.625 15.625 15.625 15.625 
0 15.625 15.625 15.625 15.625 
0 15.625 15.625 15.625 15.625 
0 15.625 15.625 15.625 15.625 
0 15.625 15.625 15.625 15.625 
0 15.625 15.625 15.625 15.625 
0 15.625 15.625 15.625 15.625 
0 15.625 15.625 15.625 15.625 
0 31.25 31.25 31.25 31.25 
0 31.25 31.25 31.25 31.25 
0 15.625 15.625 31.25 31.25 15.625 15.625 
0 31.25 31.25 31.25 31.25 
0 62.5 62.5 62.5 62.5 
0 62.5 62.5 62.5 62.5 
0 31.25 31.25 62.5 62.5 62.5 
0 62.5 62.5 62.5 62.5 
0 31.25 15.625 15.625 15.625 15.625 31.25 
0 15.625 15.625 15.625 15.625 
0 15.625 15.625 15.625 15.625 
0 15.625 15.625 15.625 15.625 
0 15.625 15.625 15.625 15.625 
0 31.25 31.25 31.25 31.25 
0 15.625 15.625 31.25 15.625 15.625 31.25 
0 15.625 15.625 15.625 15.625 
0 15.625 15.625 15.625 15.625 
0 15.625 15.625 15.625 15.625 
0 15.625 15.625 15.625 15.625 
0 31.25 15.625 15.625 31.25 31.25 
0 15.625 15.625 15.625 15.625 
0 15.625 15.625 15.625 15.625 
0 15.625 15.625 15.625 15.625 
0 15.625 15.625 15.625 15.625 
0 31.25 15.625 15.625 15.625 15.625 31.25 
0 31.25 31.25 31.25 31.25 
0 31.25 31.25 31.25 15.625 15.625 
0 31.25 31.25 31.25 31.25 
0 31.25 31.25 31.25 31.25 
0 15.625 15.625 15.625 15.625 
0 15.625 15.625 15.625 15.625 
0 15.625 15.625 15.625 15.625 
0 15.625 15.625 15.625 15.625 
0 15.625 15.625 15.625 15.625 
0 15.625 15.625 15.625 15.625 
0 15.625 15.625 15.625 15.625 
0 15.625 15.625 15.625 15.625 
0 31.25 15.625 15.625 15.625 15.625 31.25 
0 15.625 15.625 15.625 15.625 
0 15.625 15.625 15.625 15.625 
0 15.625 15.625 15.625 15.625 
0 15.625 15.625 15.625 15.625 
0 62.5 31.25 31.25 62.5 31.25 31.25 
0 62.5 62.5 62.5 62.5 
0 15.625 15.625 31.25 31.25 15.625 15.625 
0 31.25 31.25 31.25 31.25 
0 15.625 15.625 15.625 15.625 
0 15.625 15.625 15.625 15.625 
0 15.625 15.625 15.625 15.625 
0 15.625 15.625 15.625 15.625 
0 31.25 15.625 15.625 31.25 15.625 15.625 
0 62.5 31.25 31.25 62.5 31.25 31.25 
0 125 62.5 62.5 125 125 
0 125 125 125 125 
0 62.5 62.5 125 125 62.5 62.5 
0 125 125 125 125 
0 250 125 125 250 250 
0 250 250 250 250 
0 250 250 250 250 
0 250 250 250 250 
0 250 250 250 
0 250 250 250 
0 250 250 250 250 
0 250 250 250 250 
0 250 250 250 250 
0 250 250 250 250 
0 250 250 250 250 
0 250 250 250 250 
0 250 250 250 250 
0 250 250 250 250 
0 250 250 250 250 
0 250 250 250 250 
0 125 125 250 125 125 250 
0 125 125 125 125 
0 62.5 62.5 125 125 62.5 62.5 
0 125 125 125 125 
0 125 125 62.5 62.5 125 
0 31.25 31.25 62.5 31.25 31.25 62.5 
0 31.25 31.25 31.25 31.25 
0 15.625 15.625 31.25 31.25 15.625 15.625 
0 31.25 31.25 31.25 31.25 
0 31.25 31.25 31.25 31.25 
0 62.5 62.5 62.5 62.5 
0 31.25 31.25 62.5 31.25 31.25 62.5 
0 15.625 15.625 15.625 15.625 
0 15.625 15.625 15.625 15.625 
0 15.625 15.625 15.625 15.625 
0 15.625 15.625 15.625 15.625 
0 15.625 15.625 15.625 15.625 
0 15.625 15.625 15.625 15.625 
0 15.625 15.625 15.625 15.625 
0 15.625 15.625 15.625 15.625 
0 31.25 15.625 15.625 15.625 15.625 31.25 
0 15.625 15.625 15.625 15.625 
0 15.625 15.625 15.625 15.625 
0 15.625 15.625 15.625 15.625 
0 15.625 15.625 15.625 15.625 
0 31.25 15.625 15.625 31.25 31.25 
0 31.25 31.25 31.25 31.25 
0 15.625 15.625 31.25 31.25 15.625 15.625 
0 31.25 31.25 31.25 31.25 
0 31.25 31.25 15.625 15.625 31.25 
0 15.625 15.625 15.625 15.625 
0 15.625 15.625 15.625 15.625 
0 15.625 15.625 15.625 15.625 
0 15.625 15.625 15.625 15.625 
0 31.25 31.25 31.25 31.25 
0 15.625 15.625 31.25 15.625 15.625 31.25 
0 15.625 15.625 15.625 15.625 
0 15.625 15.625 15.625 15.625 
0 15.625 15.625 15.625 15.625 
0 15.625 15.625 15.625 15.625 
0 31.25 15.625 15.625 31.25 31.25 
0 15.625 15.625 15.625 15.625 
0 15.625 15.625 15.625 15.625 
0 15.625 15.625 15.625 15.625 
0 15.625 15.625 15.625 15.625 
0 31.25 15.625 15.625 31.25 31.25 
0 62.5 62.5 62.5 62.5 
0 62.5 62.5 62.5 31.25 31.25 
0 62.5 62.5 62.5 62.5 
0 62.5 62.5 62.5 62.5 
0 31.25 31.25 31.25 31.25 
0 31.25 31.25 31.25 15.625 15.625 
0 31.25 31.25 31.25 31.25 
0 31.25 31.25 15.625 15.625 31.25 
